owner_id,first_name,last_name,email_address,user_password,phone_number,join_date
100000,Galvin,Brauninger,gbrauninger0@mashable.com,soDwhcqruR1n,5298881336,28/09/2022
100001,Sonja,Reyson,sreyson1@unc.edu,xI7s50P,2736026327,15/12/2021
100002,Brina,De Carlo,bdecarlo2@vk.com,D6EUDyw,6896395461,22/01/2021
100003,Dre,Escoffier,descoffier3@google.cn,5JcTy5,1533204034,02/06/2021
100004,Carey,Ballsdon,cballsdon4@dell.com,jXmPgHmE,5785743671,14/08/2021
100005,Kenna,Luff,kluff5@usa.gov,4W2BjGJI5,2002511874,25/12/2022
100006,Davin,Slayton,dslayton6@cyberchimps.com,iMREvYeH,3107951167,15/04/2021
100007,Saundra,Folshom,sfolshom7@oakley.com,VDg5DRP,7079539797,02/09/2022
100008,Karyn,Barefoot,kbarefoot8@cdc.gov,W0rC3N1w,4041943235,01/03/2021
100009,Munroe,Whitticks,mwhitticks9@marriott.com,PBksHhEW,8215298982,07/12/2022
100010,Aloysia,Fairburne,afairburnea@harvard.edu,61jawkcTnUs,2592914460,28/10/2022
100011,Cordie,Eames,ceamesb@seattletimes.com,uaP68Iozi,8603827735,22/10/2021
100012,Devlin,Rodolfi,drodolfic@vimeo.com,BF4LzsE,3928157807,15/10/2022
100013,Floyd,Scotchforth,fscotchforthd@webmd.com,CxyHtxfrtVv,1979599371,19/04/2022
100014,Lyndy,Tuffley,ltuffleye@cnbc.com,JIxbpgCNGQj,9129418275,02/06/2021
100015,Nonnah,Donett,ndonettf@samsung.com,kvpuPA80,853930097,13/08/2022
100016,Philippe,Osburn,posburng@furl.net,ApLEwyZkd9,9598444037,05/12/2022
100017,Ruprecht,Cowup,rcowuph@dyndns.org,8zuFBhxc0U,5258856747,08/12/2021
100018,Worden,Lowings,wlowingsi@ning.com,pDwADLEh5,7651951308,19/09/2022
100019,Lee,Rowter,lrowterj@artisteer.com,DxG7sHzkqFM,9853981628,29/03/2021
100020,Drud,Marsay,dmarsayk@psu.edu,s2h9cvYT3V8u,3607340023,07/08/2021
100021,Georgeanna,Spurgeon,gspurgeonl@spiegel.de,PTRWABaw8l2,6899784356,04/04/2021
100022,Nicholas,Syder,nsyderm@1688.com,nyv8oO,5530157747,27/11/2022
100023,Michal,Stapele,mstapelen@ezinearticles.com,Enr01toS6Rf5,2272600575,28/04/2022
